longitude;latitude
34.73;65.9
34.72;65.9
34.72;65.9
34.7;65.89
34.69;65.88
34.7;65.88
34.71;65.88
34.68;65.87
34.69;65.87
34.68;65.88
34.69;65.89
34.68;65.89
34.68;65.89
34.7;65.9
34.68;65.9
34.69;65.9
34.67;65.9
34.67;65.9
34.67;65.91
34.67;65.91
34.69;65.91
34.69;65.92
34.7;65.92
34.7;65.92
34.67;65.92
34.69;65.92
34.67;65.92
34.69;65.93
34.65;65.92
34.64;65.92
34.63;65.92
34.64;65.92
34.67;65.93
34.65;65.93
34.66;65.93
34.66;65.93
34.64;65.93
34.64;65.93
34.66;65.94
34.66;65.93
34.67;65.93
34.68;65.94
34.68;65.94
34.68;65.94
34.67;65.94
34.66;65.95
34.68;65.95
34.68;65.95
34.67;65.96
34.68;65.96
34.7;65.96
34.71;65.96
34.71;65.96
34.71;65.97
34.69;65.98
34.7;65.98
34.7;65.98
34.68;65.99
34.67;65.99
34.66;65.99
34.66;66
34.65;66
34.63;66
34.63;66.01
34.62;66.01
34.61;66.01
34.62;66.01
34.6;66.02
34.58;66.03
34.59;66.04
34.6;66.03
34.6;66.04
34.58;66.04
34.58;66.04
34.58;66.05
34.57;66.05
34.56;66.04
34.53;66.04
34.54;66.05
34.55;66.05
34.53;66.07
34.51;66.08
34.45;66.09
34.45;66.1
34.43;66.1
34.42;66.1
34.38;66.11
34.38;66.12
34.34;66.13
34.33;66.14
34.32;66.14
34.31;66.14
34.3;66.15
34.28;66.14
34.28;66.15
34.27;66.15
34.27;66.15
34.26;66.15
34.25;66.15
34.25;66.15
34.24;66.15
34.24;66.16
34.22;66.16
34.21;66.16
34.17;66.17
34.19;66.17
34.2;66.16
34.21;66.17
34.19;66.17
34.19;66.17
34.15;66.17
34.15;66.17
34.14;66.17
34.15;66.17
34.16;66.17
34.17;66.18
34.17;66.18
34.18;66.19
34.18;66.19
34.15;66.19
34.17;66.2
34.16;66.2
34.13;66.19
34.15;66.2
34.15;66.21
34.14;66.21
34.14;66.21
34.11;66.22
34.11;66.22
34.11;66.22
34.1;66.23
34.08;66.23
34.05;66.22
34.03;66.22
34.02;66.22
34.01;66.22
34;66.22
33.99;66.22
33.97;66.22
